Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations
3-acetyloxy-4-(trimethylazaniumyl)butanoate,1,203.238,0,4,-1.2357,True,None
(2-acetyloxy-3-carboxypropyl)-trimethylazanium,2,204.246,1,3,0.099,True,None
"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid",3,156.137,3,3,-0.711,True,None
1-aminopropan-2-ol,4,75.111,2,2,-0.6741,True,None
(3-amino-2-oxopropyl) dihydrogen phosphate,5,169.073,3,4,-1.3765,True,None
"1-chloro-2,4-dinitrobenzene",6,202.553,0,4,2.1564,True,None
9-ethylpurin-6-amine,7,163.184,1,5,0.4284,True,None
"2,3-dihydroxy-3-methylpentanoic acid",8,148.158,3,3,-0.4071,True,None
"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate",9,260.135,7,7,-3.7176,False,Hydrogen bond donors > 5)
"2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methyl-formylamino]benzoyl]amino]pentanedioic acid",10,473.446,7,9,-0.7311,False,Hydrogen bond donors > 5)
"1,2-dichloroethane",11,98.96,0,0,1.464,True,None
"benzene-1,2,3,5-tetrol",12,142.11,4,4,0.509,True,None
"1,2,4-trichlorobenzene",13,181.449,0,0,3.6468,True,None
7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid,14,352.471,2,4,3.6833,True,None
"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one",15,290.447,1,2,3.9591,True,None
"1,8-diazacyclotetradecane-2,9-dione",16,226.32,2,2,1.3532,True,None
"2,3-dihydropyridine-2,6-dicarboxylic acid",17,169.136,2,3,-0.0749,True,None
"4,5,6-trihydroxy-2,3-dioxohexanoic acid",18,192.123,4,6,-3.0767,True,None
"2,3-dihydroxybenzoic acid",19,154.121,3,3,0.796,True,None
"3-(2,3-dihydroxyphenyl)propanoic acid",20,182.175,3,3,1.115,True,None
2-ethyl-2-hydroxy-3-oxobutanoic acid,21,146.142,2,3,-0.1989,True,None
2-hydroxy-2-methyl-3-oxobutanoic acid,22,132.115,2,3,-0.589,True,None
2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid,23,185.135,3,4,-0.8765,True,None
"2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one",24,323.262,9,12,-5.7573,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2-amino-7,8-dihydroxy-6-(1,2,3-trihydroxypropyl)-1,5,6,7-tetrahydropteridin-4-one",25,289.248,8,10,-3.6257,False,Hydrogen bond donors > 5)
"1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione",26,269.217,4,9,-3.2521,True,None
"[[3-(2-amino-7,8-dihydroxy-4-oxo-1,7-dihydropteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate",27,527.169,10,15,-2.9827,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2-aminohexa-2,4-dienedioic acid",28,157.125,3,3,-0.4456,True,None
2-amino-3-oxopropanoic acid,29,103.077,2,3,-1.4028,True,None
"2-amino-6-oxohexa-2,4-dienoic acid",30,141.126,2,3,-0.3313,True,None
"(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate",31,216.126,5,5,-1.8001,True,None
"buta-1,3-diene-1,1,4-tricarboxylic acid",32,186.119,3,3,-0.2772,True,None
2-chloroacetaldehyde,33,78.498,0,1,0.4241,True,None
2-chloroethanol,34,80.514,1,1,0.2175,True,None
