Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations,Number of Atoms,Molecular Formula,Number of Bonds,Number of Rings,Topological Polar Surface Area,Rotatable Bonds,Number of Heavy Atoms,Number of Aromatic Rings,Number of Saturated Rings,Number of Aliphatic Rings,Number of Bridge Head Atoms,Percent of sp^3 Hybridization,Surface Area,Max Partial Charge,Hall Kier Alpha
2-acetyloxybenzoic acid,2244,180.159,1,3,1.3101,True,None,13,C9H8O4,13,1,63.60000000000001,2,13,1,0,0,0,0.1111111111111111,74.75705264,0.47753953,-1.84
N-(4-hydroxyphenyl)acetamide,1983,151.165,2,2,1.3506,True,None,11,C8H9NO2,11,1,49.33,1,11,1,0,0,0,0.125,64.66690538,0.50796432,-1.51
N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,3386,309.331,1,2,4.435,True,None,22,C17H18F3NO,23,2,21.259999999999998,6,22,2,0,0,0,0.29411764705882354,127.47322152,0.48569529,-2.01
2-(6-chloro-9H-carbazol-2-yl)propanoic acid,2581,273.719,2,1,4.1626,True,None,19,C15H12ClNO2,21,3,53.09,2,19,3,0,0,0,0.13333333333333333,114.35774103,0.48078849,-2.0
"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",5284373,1202.635,5,12,3.269,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10),85,C62H111N11O12,85,1,278.8,15,85,0,1,1,0,0.7903225806451613,508.3945471,0.39012649,-6.13
"methyl 10-(3a,6,6,9a-tetramethyl-2,7-dioxo-4,5,5a,8,9,9b-hexahydro-1H-cyclopenta[a]naphthalen-3-ylidene)-2,6-dimethylundeca-2,4,6,8-tetraenoate",5288,478.673,0,4,6.8816,False,Octanol-water partition coefficient (LogP) > 5),35,C31H42O4,37,3,60.44,5,35,0,3,3,0,0.5806451612903226,210.82011737,0.46565943,-2.49
"[[3-(2-amino-4-oxo-4a,7,8,8a-tetrahydro-3H-pteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate",161,497.187,9,13,-3.7651,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),30,C9H18N5O13P3,31,2,292.1499999999999,9,30,0,0,2,0,0.6666666666666666,166.793778,0.48954298,-1.1
N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide,3345,336.479,0,2,4.1367,True,None,25,C22H28N2O,27,3,23.550000000000004,6,25,2,1,1,0,0.4090909090909091,150.81327676,0.30928992,-2.13
2-[[2-[[2-[[2-[[6-amino-2-[[4-amino-2-[[2-[[2-[[2-amino-3-(1H-imidazol-5-yl)propanoyl]amino]-3-carboxypropanoyl]amino]-4-methylsulfanylbutanoyl]amino]-4-oxobutanoyl]amino]hexanoyl]amino]-3-methylbutanoyl]amino]-4-methylpentanoyl]amino]-3-carboxypropanoyl]amino]-4-methylpentanoic acid,3612,1084.265,15,16,-3.3024,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),75,C46H77N13O15S,75,1,468.5099999999999,37,75,1,0,0,0,0.6739130434782609,438.41536848,0.48116231,-6.88
1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol,4946,259.349,2,3,2.5775,True,None,19,C16H21NO2,20,2,41.489999999999995,6,19,2,0,0,0,0.375,113.7603615,0.49019502,-1.58
"2-[4-(2-butyl-1-benzofuran-3-carbonyl)-2,6-diiodophenoxy]ethyl-diethylazanium",2156,646.327,1,3,5.5191,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),31,C25H30I2NO3+,33,3,43.879999999999995,11,31,3,0,0,0,0.4,211.53743162,0.48549117,-1.13
2-propylpentanoic acid,3121,144.214,1,1,2.2874,True,None,10,C8H16O2,9,0,37.3,5,10,0,0,0,0,0.875,62.24960168,0.48102646,-0.53
"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",5754,362.466,3,5,1.7816,True,None,26,C21H30O5,29,4,94.83000000000001,2,26,0,3,4,0,0.8095238095238095,154.03091113,0.39277286,-1.04
2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one,444,239.746,1,2,3.2993,True,None,16,C13H18ClNO,16,1,29.1,3,16,1,0,0,0,0.46153846153846156,102.00064843,0.30264536,-0.86
4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,2083,239.315,4,4,1.306,True,None,17,C13H21NO3,17,1,72.72,4,17,1,0,0,0,0.5384615384615384,101.91856136,0.50758373,-1.1
"2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid",4112,454.447,5,10,0.2684,True,None,33,C20H22N8O5,35,3,210.53999999999996,9,33,3,0,0,0,0.25,187.03080175,0.48122926,-4.55
2-(6-methoxynaphthalen-2-yl)propanoic acid,1302,230.263,1,2,3.0365,True,None,17,C14H14O3,18,2,46.53,3,17,2,0,0,0,0.21428571428571427,99.64213719,0.4967451,-2.03
"7-chloro-3-hydroxy-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",5391,300.745,1,3,2.4722,True,None,21,C16H13ClN2O2,23,3,52.900000000000006,1,21,2,0,1,0,0.125,126.85661286,0.36412628,-2.17
"(7R,8R,9S,13S,14S,17S)-13-methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",104741,606.782,2,3,8.6826,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),41,C32H47F5O3S,44,4,57.53,14,41,1,2,3,0,0.8125,243.69280336,0.50795603,-1.22
copper sulfate,24462,159.609,0,4,-1.3405,True,None,6,CuO4S,4,0,80.25999999999999,0,6,0,0,0,0,0.0,45.60180282,2.0,0.38948052
2-(3-fluoro-4-phenylphenyl)propanoic acid,3394,244.265,1,1,3.6808,True,None,18,C15H13FO2,19,2,37.3,3,18,2,0,0,0,0.13333333333333333,104.70461492,0.48078849,-2.16
6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine,2265,277.269,1,8,1.1458,True,None,19,C9H7N7O2S,21,3,115.42000000000002,3,19,3,0,0,0,0.1111111111111111,109.81807397,0.39583812,-2.49
"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",3033,296.153,2,2,4.3641,True,None,19,C14H11Cl2NO2,20,2,49.33,4,19,2,0,0,0,0.07142857142857142,120.33053204,0.48098521,-1.71
diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,4004,330.364,0,8,2.1218,True,None,19,C10H19O6PS2,18,0,71.06000000000002,9,19,0,0,0,0,0.8,121.96590767,0.46592756,-0.14
"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-ium-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",3954,478.056,2,2,3.6709,True,None,34,C29H34ClN2O2+,37,4,44.980000000000004,7,34,3,1,1,0,0.3448275862068966,207.33281306,0.38469723,-2.66
"7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",3016,284.746,0,2,3.1538,True,None,20,C16H13ClN2O,22,3,32.67,1,20,2,0,1,0,0.125,122.06237911,0.31319992,-2.13
"(2R,5R)-2-methylspiro[1,3-oxathiolane-5,3'-1-azabicyclo[2.2.2]octane];hydrochloride",123603,235.78,0,3,1.982,True,None,14,C10H18ClNOS,15,4,12.47,0,14,0,4,4,2,1.0,96.15581877,0.35895228,0.56
"1,8-dihydroxy-10H-anthracen-9-one",2202,226.231,2,3,2.233,True,None,17,C14H10O3,19,3,57.53,0,17,2,0,1,0,0.07142857142857142,97.96254001,0.50717378,-2.29
"1-[4-[4-[[2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",3823,531.44,0,7,4.2058,False,Molecular Weight (g/mol) > 500),36,C26H28Cl2N4O4,40,5,69.06,7,36,3,2,2,0,0.38461538461538464,219.81542995,0.49079081,-2.78
3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,5090,314.362,0,4,2.5577,True,None,22,C17H14O4S,24,3,60.44,3,22,2,0,1,0,0.11764705882352941,128.51823942,0.45714639,-2.4
"3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate",2162,408.882,2,7,2.2663,True,None,28,C20H25ClN2O5,29,2,99.88,8,28,1,0,1,0,0.4,169.0122545,0.46558005,-2.35
1-[(2-chlorophenyl)-diphenylmethyl]imidazole,2812,344.845,0,2,5.3767,False,Octanol-water partition coefficient (LogP) > 5),25,C22H17ClN2,28,4,17.82,4,25,4,0,0,0,0.045454545454545456,151.90967397,0.31890279,-2.84
"8-chloro-3-methyl-5-phenyl-1,2,4,5-tetrahydro-3-benzazepin-7-ol",5018,287.79,1,2,3.6654,True,None,20,C17H18ClNO,22,3,23.47,1,20,2,0,1,0,0.29411764705882354,124.16471039,0.50638421,-1.51
3-(2-aminoethyl)-1H-indol-5-ol,5202,176.219,3,2,1.3747,True,None,13,C10H12N2O,14,2,62.03999999999999,2,13,2,0,0,0,0.2,76.18623675,0.50794139,-1.48
"3-(diaminomethylidene)-1,1-dimethylguanidine",4091,129.167,3,1,-1.24383,True,None,9,C4H11N5,8,0,91.49,0,9,0,0,0,0,0.5,53.85436592,0.3697523,-1.26
"9,20,21,25-tetramethoxy-15,30-dimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.23,6.18,12.114,18.027,31.022,33]hexatriaconta-3(36),4,6(35),8,10,12(34),18,20,22(33),24,26,31-dodecaene",5422,622.762,0,8,7.1624,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),46,C38H42N2O6,52,8,61.860000000000014,4,46,4,0,4,6,0.3684210526315789,270.8953206,0.49284496,-4.4
"4-[(4-butyl-3,5-dioxo-1,2-diphenylpyrazolidin-4-yl)methoxy]-4-oxobutanoic acid",5362,438.48,1,5,3.566,True,None,32,C24H26N2O6,34,3,104.22000000000001,10,32,2,1,1,0,0.3333333333333333,185.90564229,0.48121893,-3.68
4-methylsulfonyloxybutyl methanesulfonate,2478,246.306,0,6,-0.281,True,None,14,C6H14O6S2,13,0,86.74000000000001,7,14,0,0,0,0,1.0,84.45985657,0.27031883,-0.18
1-[[3-hydroxy-2-methyl-5-(phosphonooxymethyl)-4-pyridinyl]methylamino]cyclopropane-1-carboxylic acid,4324,332.249,5,6,0.41172,True,None,22,C12H17N2O7P,23,2,149.20999999999998,7,22,1,1,1,0,0.5,125.75128994,0.5056988,-1.51
"N,N-dimethyl-1-phenothiazin-10-ylpropan-2-amine",4927,284.428,0,3,4.2394,True,None,20,C17H20N2S,22,3,6.48,3,20,2,0,1,0,0.29411764705882354,124.95015411,0.33806509,-1.45
"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",60823,558.65,4,5,6.3136,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),41,C33H35FN2O5,44,4,111.79000000000002,12,41,4,0,0,0,0.2727272727272727,238.45732395,0.48115943,-4.27
"6-methoxy-2-[(4-methoxy-3,5-dimethyl-2-pyridinyl)methylsulfinyl]-1H-benzimidazole",4594,345.424,1,5,2.89974,True,None,24,C17H19N3O3S,26,3,77.10000000000001,5,24,3,0,0,0,0.29411764705882354,142.24467347,0.49668497,-2.41
(2S)-1-[(2S)-6-amino-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]hexanoyl]pyrrolidine-2-carboxylic acid,5362119,405.495,4,5,1.2352,True,None,29,C21H31N3O5,30,2,132.96,12,29,1,1,1,0,0.5714285714285714,170.62232404,0.48008041,-2.45
"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",5819,776.872,3,4,4.5573,False,Molecular Weight (g/mol) > 500),24,C15H11I4NO4,25,2,92.78,5,24,2,0,0,0,0.13333333333333333,192.83410168,0.50572519,0.39
"(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine",68617,306.236,1,1,5.1796,False,Octanol-water partition coefficient (LogP) > 5),20,C17H17Cl2N,22,3,12.03,2,20,2,0,1,0,0.29411764705882354,129.46377138,0.31297934,-1.02
"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",33613,365.411,4,6,0.0237,True,None,25,C16H19N3O5S,27,3,132.95999999999998,4,25,1,2,2,0,0.4375,147.91489234,0.50796663,-2.26
2-[4-(2-methylpropyl)phenyl]propanoic acid,3672,206.285,1,1,3.0732,True,None,15,C13H18O2,15,1,37.3,4,15,1,0,0,0,0.46153846153846156,90.94175377,0.4807885,-1.31
"1-(4-methoxyphenyl)-7-oxo-6-[4-(2-oxopiperidin-1-yl)phenyl]-4,5-dihydropyrazolo[5,4-c]pyridine-3-carboxamide",10182969,459.506,1,6,2.6996,True,None,34,C25H25N5O4,38,5,110.76,5,34,3,1,2,0,0.28,196.24825339,0.49676587,-4.14
"(8S,9S,10R,13S,14S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione",5865,358.434,2,5,1.7658,True,None,26,C21H26O5,29,4,91.67000000000002,2,26,0,3,4,0,0.6666666666666666,152.70859644,0.3884641,-1.59
5-chloro-2-(6-methyl-3-pyridinyl)-3-(4-methylsulfonylphenyl)pyridine,123619,358.85,0,4,4.17592,True,None,24,C18H15ClN2O2S,26,3,59.92,3,24,3,0,0,0,0.1111111111111111,145.64343633,0.26090381,-2.24
5-fluoro-3-(3-nitroso-1H-indol-2-yl)-1H-indol-2-ol,135398503,295.273,3,3,4.5588,True,None,22,C16H10FN3O2,25,4,81.24000000000001,2,22,4,0,0,0,0.0,122.92464837,0.4940757,-3.15
(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,156391,230.263,1,2,3.0365,True,None,17,C14H14O3,18,2,46.53,3,17,2,0,0,0,0.21428571428571427,99.64213719,0.4967451,-2.03
benzo[b][1]benzazepine-11-carboxamide,2554,236.274,1,1,3.3872,True,None,18,C15H12N2O,20,3,46.33,0,18,2,0,1,0,0.0,105.14913595,0.35088384,-2.55
1-phenylpropan-2-amine,3007,135.21,1,1,1.5763,True,None,10,C9H13N,10,1,26.02,2,10,1,0,0,0,0.3333333333333333,61.86612016,0.32765583,-0.82
"3-[3-[5-[5-(4,5-dihydroxy-6-methyloxan-2-yl)oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one",3062,780.949,6,14,2.2181,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),55,C41H64O14,62,8,203.06,7,55,0,7,8,0,0.926829268292683,323.32242456,0.45797965,-1.27
"[4-acetyloxy-1,9,12-trihydroxy-15-[2-hydroxy-3-[(2-methylpropan-2-yl)oxycarbonylamino]-3-phenylpropanoyl]oxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate",3143,807.89,5,14,3.2596,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10),58,C43H53NO14,63,6,224.44999999999996,8,58,2,3,4,2,0.5581395348837209,336.19090907,0.45573767,-4.67
"5-[(7,8-dihydroxy-2-methyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl)oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",3310,588.562,3,13,1.3386,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10),42,C29H32O13,48,7,160.83,5,42,2,3,5,0,0.5517241379310345,240.22948792,0.50169948,-3.33
"5-fluoro-1H-pyrimidine-2,4-dione",3385,130.078,2,2,-0.7977,True,None,9,C4H3FN2O2,9,1,65.72,0,9,1,0,0,0,0.0,48.35927868,0.32534714,-1.39
"[(1R,2S,6S,9R)-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.02,6]dodecan-6-yl]methyl sulfamate",5284627,339.366,1,8,-0.3954,True,None,22,C12H21NO8S,24,3,115.54,3,22,0,3,3,0,1.0,128.72706267,0.34266042,-0.33
"5-chloro-3H-1,3-benzoxazol-2-one",2733,169.567,1,2,1.7745,True,None,11,C7H4ClNO2,12,2,46.0,0,11,2,0,0,0,0.0,66.59183322,0.41678333,-1.22
"(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene",5360696,271.404,0,2,3.3834,True,None,20,C18H25NO,23,4,12.47,1,20,1,2,3,2,0.6666666666666666,121.66659393,0.49675723,-1.02
"N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine",3162,270.376,0,3,2.9233,True,None,20,C17H22N2O,21,2,25.36,6,20,2,0,0,0,0.35294117647058826,120.77117689,0.36288536,-1.71
"1,3-dichloro-2-methylpropane;1,3-dichloro-2-methylprop-1-ene;3,3-dichloro-2-methylprop-1-ene",115271,377.01,0,0,6.8341,False,Octanol-water partition coefficient (LogP) > 5),18,C12H20Cl6,15,0,0.0,4,18,0,0,0,0,0.6666666666666666,141.20566789,0.12780366,1.22
2-ethyl-2-methylbutanoic acid,29846,130.187,1,1,1.8973,True,None,9,C7H14O2,8,0,37.3,3,9,0,0,0,0,0.8571428571428571,55.88465957,0.48082957,-0.53
propyl 2-methylpropanoate,12571,130.187,0,2,1.5956,True,None,9,C7H14O2,8,0,26.3,3,9,0,0,0,0,0.8571428571428571,56.20397104,0.46549765,-0.53
"benzyl-[[3-[[benzyl(dimethyl)azaniumyl]methyl]-2-methoxy-4,6-dimethylphenyl]methyl]-dimethylazanium dichloride",46921,503.558,0,1,-0.12676,False,Molecular Weight (g/mol) > 500),34,C29H40Cl2N2O,34,3,9.23,9,34,3,0,0,0,0.3793103448275862,218.91929684,1.0,-2.04
"4-[(3-carboxy-2-hydroxynaphthalen-1-yl)methyl]-3-hydroxynaphthalene-2-carboxylic acid;1-methyl-2-[(E)-2-thiophen-2-ylethenyl]-5,6-dihydro-4H-pyrimidine",5281033,594.689,4,7,6.8867,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),43,C34H30N2O6S,47,6,130.66,6,43,5,0,1,0,0.14705882352941177,251.66423734,0.50672498,-5.15
"2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one",5533,371.872,0,6,2.3617,True,None,26,C19H22ClN5O,29,4,45.78,5,26,3,1,1,0,0.3684210526315789,156.75759805,0.36892383,-2.31
"[(1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2,2-dimethylbutanoate",54454,418.574,1,5,4.5856,True,None,30,C25H38O5,32,3,72.83000000000001,6,30,0,1,3,0,0.76,180.44553066,0.46218777,-1.62
5-[(2R)-2-[2-(2-ethoxyphenoxy)ethylamino]propyl]-2-methoxybenzenesulfonamide,129211,408.52,2,6,2.3409,True,None,28,C20H28N2O5S,29,2,99.88,11,28,2,0,0,0,0.4,166.3991987,0.49533785,-2.29
"4-hydroxy-2-methyl-N-(5-methyl-1,3-thiazol-2-yl)-1,1-dioxo-1lambda6,2-benzothiazine-3-carboxamide",54677470,351.409,2,6,1.95092,True,None,23,C14H13N3O4S2,25,3,99.6,2,23,2,0,1,0,0.14285714285714285,136.50401256,0.50486155,-2.39
4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid,3440,330.749,3,5,1.8907,True,None,21,C12H11ClN2O5S,22,2,122.62999999999998,5,21,2,0,0,0,0.08333333333333333,124.92226167,0.47758297,-2.03
"(Z)-7-[(1R,2S,3R)-2-[(E)-4-(1-benzothiophen-2-yl)-3-hydroxybut-1-enyl]-3-(hydroxymethyl)-5-oxocyclopentyl]hept-5-enoic acid",11583063,442.577,3,5,4.3758,True,None,31,C25H30O5S,33,3,94.83000000000001,11,31,2,1,1,0,0.44,186.27815511,0.48123025,-2.28
(3S)-N-methyl-3-naphthalen-1-yloxy-3-thiophen-2-ylpropan-1-amine,60835,297.423,1,3,4.6309,True,None,21,C18H19NOS,23,3,21.259999999999998,6,21,3,0,0,0,0.2222222222222222,128.933701,0.48420048,-1.84
"3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide",3325,337.456,4,6,-0.768,True,None,20,C8H15N7O2S3,20,1,175.83,7,20,1,0,0,0,0.375,124.28559613,0.38640179,-1.37
"(2S,3R,4R,5S,6R)-2-[4-chloro-3-[[4-[(3S)-oxolan-3-yl]oxyphenyl]methyl]phenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",11949646,450.915,4,7,1.6134,True,None,31,C23H27ClO7,34,4,108.61000000000001,6,31,2,2,2,0,0.4782608695652174,185.3120352,0.48794046,-1.71
